acc_raw_int,acc_raw_float,acc_HP_float,acc_HP_float
-216,-216,-76.5511,-76
-223,-223,-93.7829,-93
-251,-251,-47.835,-47
-254,-254,-72.1092,-72
-235,-235,-92.1437,-92
-201,-201,-97.1236,-97
-258,-258,-100.4818,-100
-210,-210,-96.467,-96
-211,-211,-63.2661,-63
-270,-270,-70.4203,-70
-222,-222,-83.5184,-83
-225,-225,-48.9001,-48
-267,-267,-57.132,-57
-284,-284,-56.5045,-56
-273,-273,-71.6706,-71
-259,-259,-60.7843,-60
-272,-272,-34.1462,-34
-203,-203,-74.9493,-74
-194,-194,-108.3081,-108
-227,-227,-81.2896,-81
-268,-268,-19.2047,-19
-226,-226,-16.1072,-16
-219,-219,-63.6058,-63
-265,-265,-75.8347,-75
-218,-218,-65.606,-65
-195,-195,-95.3419,-95
-208,-208,-46.2663,-46
-243,-243,-60.9288,-60
-234,-234,-51.0001,-51
-202,-202,-104.9546,-104
-272,-272,-85.4587,-85
-269,-269,-42.4391,-42
-236,-236,-89.4525,-89
-210,-210,-89.0289,-89
-230,-230,-53.1339,-53
-232,-232,-20.3924,-20
-199,-199,-37.2521,-37
-187,-187,-41.8,-41
-201,-201,-41.7376,-41
-232,-232,-40.0543,-40
-243,-243,-74.4035,-74
-271,-271,-60.7787,-60
-243,-243,-61.2823,-61
-224,-224,-80.0169,-80
-239,-239,-100.7559,-100
-233,-233,-91.8523,-91
-226,-226,-55.667,-55
-203,-203,-66.0794,-66
-211,-211,-55.5864,-55
-262,-262,-50.5297,-50
-247,-247,-57.1698,-57
-258,-258,-84.9096,-84
-251,-251,-88.5295,-88
-239,-239,-69.1479,-69
-225,-225,-34.9036,-34
-234,-234,-91.8775,-91
-300,-300,-43.7263,-43
-233,-233,-44.8167,-44
-231,-231,-104.2826,-104
-290,-290,-56.0057,-56
-243,-243,-58.7662,-58
-206,-206,-101.2622,-101
-234,-234,-118.0674,-118
-241,-241,-106.9947,-106
-223,-223,-92.7378,-92
-236,-236,-105.8443,-105
-251,-251,-37.1037,-37
-222,-222,-27.4736,-27
-204,-204,-60.084,-60
-248,-248,-101.4564,-101
-244,-244,-60.2383,-60
-227,-227,-53.1484,-53
-251,-251,-98.3288,-98
-277,-277,-51.028,-51
-270,-270,-28.0663,-28
-200,-200,-40.6975,-40
-233,-233,-76.3517,-76
-281,-281,-66.9671,-66
-240,-240,-35.0223,-35
-239,-239,-104.2109,-104
-241,-241,-101.4877,-101
-257,-257,-68.983,-68
-235,-235,-42.243,-42
-207,-207,-62.2932,-62
-245,-245,-64.7313,-64
-255,-255,-32.0274,-32
-245,-245,-19.6164,-19
-285,-285,-33.3234,-33
-254,-254,-64.1618,-64
-203,-203,-75.1356,-75
-237,-237,-102.572,-102
-294,-294,-74.5823,-74
-235,-235,-55.4938,-55
-211,-211,-70.2267,-70
-270,-270,-63.8495,-63
-223,-223,-57.0011,-57
-204,-204,-34.5343,-34
-262,-262,-42.2477,-42
-251,-251,-93.2705,-93
-195,-195,-78.3382,-78
-216,-216,-89.1961,-89
-212,-212,-81.8065,-81
-238,-238,-69.7501,-69
-225,-225,-56.0201,-56
-246,-246,-65.3998,-65
-248,-248,-130.498,-130
-234,-234,-64.1426,-64
-197,-197,-62.1253,-62
-172,-172,-120.4129,-120
-205,-205,-74.1775,-74
-175,-175,-37.2408,-37
-163,-163,-64.8369,-64
-232,-232,-71.7026,-71
-279,-279,-53.8604,-53
-253,-253,-67.0847,-67
-232,-232,-81.9663,-81
-237,-237,-53.9494,-53
-232,-232,-36.005,-36
-217,-217,-79.5306,-79
-219,-219,-75.0262,-75
-237,-237,-58.6703,-58
-251,-251,-82.7288,-82
-218,-218,-108.1511,-108
-266,-266,-101.7947,-101
-218,-218,-32.1313,-32
-198,-198,-65.0003,-65
-188,-188,-112.644,-112
-257,-257,-71.7938,-71
-299,-299,-71.1276,-71
-257,-257,-72.1353,-72
-258,-258,-88.255,-88
-292,-292,-66.6768,-66
-240,-240,-39.0485,-39
-255,-255,-76.7219,-76
-289,-289,-86.5955,-86
-235,-235,-77.0581,-77
-211,-211,-117.2331,-117
-239,-239,-85.9827,-85
-220,-220,-34.5881,-34
-266,-266,-68.4202,-68
-253,-253,-125.0751,-125
-259,-259,-66.5099,-66
-257,-257,-42.7618,-42
-209,-209,-101.6325,-101
-231,-231,-54.7651,-54
-227,-227,-35.907,-35
-183,-183,-94.3522,-94
-186,-186,-83.3418,-83
-233,-233,-26.6783,-26
-232,-232,-47.9994,-47
-196,-196,-44.0258,-44
-218,-218,-70.2645,-70
-267,-267,-57.4364,-57
-214,-214,-78.7273,-78
-196,-196,-80.7294,-80
-227,-227,-65.9277,-65
-277,-277,-29.9054,-29
-253,-253,-4.9224,-4
-223,-223,-37.1943,-37
-247,-247,-7.9363,-7
-243,-243,3.5531,3
-226,-226,-65.057,-65
-256,-256,-111.9363,-111
-221,-221,-86.24,-86
-244,-244,-65.0412,-65
-232,-232,-69.8701,-69
-230,-230,-65.3168,-65
-205,-205,-50.6149,-50
-181,-181,-52.1176,-52
-225,-225,-70.2551,-70
-224,-224,-84.5577,-84
-200,-200,-51.3386,-51
-221,-221,-99.0986,-99
-227,-227,-51.3339,-51
-240,-240,-32.353,-32
-253,-253,-21.8256,-21
-213,-213,-90.2642,-90
-236,-236,-132.9297,-132
-236,-236,-90.9728,-90
-224,-224,-92.0016,-92
-236,-236,-125.8211,-125
-240,-240,-74.1662,-74
